                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.1046,                 1.2692,                 1.1004,                 0.6973,                0.71429,                0.78344,                0.33282,                 1.4538,                 2.2741,                 1.7163,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1581,                 1.1192,                 1.0755,                 0.6973,                0.71429,                0.78344,                0.33282,                 1.4538,                 2.2741,                 1.7163,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1072,                 1.3653,                 1.1558,                0.80374,                0.71429,                  0.816,                 0.3973,                 1.4383,                 2.1332,                 1.6855,              0.0003368,              0.0003368,              0.0003368
                     87,                0.88943,                 1.2631,                 1.0654,                0.80374,                0.71429,                  0.816,                 0.3973,                 1.4383,                 2.1332,                 1.6855,               0.000317,               0.000317,               0.000317
                     88,                 1.0984,                 1.2385,                 1.1509,                0.82658,                0.71429,                0.85033,                0.44294,                 1.4159,                 2.0313,                 1.6937,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0659,                 1.0355,                0.98272,                0.82658,                0.71429,                0.85033,                0.44294,                 1.4159,                 2.0313,                 1.6937,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.234,                 1.2156,                 1.0288,                 0.8214,                0.71429,                0.87409,                0.46213,                 1.4439,                 2.0279,                 1.7082,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0116,                 1.4231,                 1.1427,                 0.8214,                0.71429,                0.87409,                0.46213,                 1.4439,                 2.0279,                 1.7082,              0.0002378,              0.0002378,              0.0002378
                     92,                0.91411,                 1.2732,                 1.0111,                 0.8332,                0.71371,                0.87409,                0.52855,                 1.4413,                 1.9173,                 1.6687,               0.000218,               0.000218,               0.000218
                     93,                0.90275,                 1.2875,                  1.033,                 0.8332,                0.71371,                0.87409,                0.52855,                 1.4413,                 1.9173,                 1.6687,              0.0001982,              0.0001982,              0.0001982
                     94,                   1.08,                 1.1997,                 1.0741,                0.83085,                0.70364,                0.87409,                 0.5418,                 1.4301,                 1.9058,                 1.6756,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0449,                  1.312,                 1.1412,                0.83085,                0.70364,                0.87409,                 0.5418,                 1.4301,                 1.9058,                 1.6756,              0.0001586,              0.0001586,              0.0001586
                     96,                0.97227,                 1.2433,                 1.1458,                0.83025,                0.70106,                0.87409,                0.52693,                 1.3781,                 1.9166,                 1.6548,              0.0001388,              0.0001388,              0.0001388
                     97,                0.85498,                 1.1992,                 1.0065,                0.83025,                0.70106,                0.87409,                0.52693,                 1.3781,                 1.9166,                 1.6548,               0.000119,               0.000119,               0.000119
                     98,                0.92759,                  1.284,                 1.0681,                0.82885,                0.69507,                0.87409,                0.55308,                 1.3192,                 1.9005,                  1.622,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.89407,                 1.2505,                 1.0309,                0.82885,                0.69507,                0.87409,                0.55308,                 1.3192,                 1.9005,                  1.622,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.86824,                 1.2436,                 1.0543,                 0.8271,                0.68757,                0.87409,                0.56045,                 1.3147,                 1.9034,                  1.615,               5.96e-05,               5.96e-05,               5.96e-05
