                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5623,                 3.2664,                 1.7048,                0.00238,                0.71429,                0.05831,                0.03238,                 1.5279,                 4.3711,                 1.9322,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.7856,                 3.5817,                 1.6465,                0.00238,                0.71429,                0.20968,                0.12427,                 1.3905,                 4.1427,                 1.8486,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.3728,                 3.3677,                 1.5046,                0.00286,                0.85714,                0.35346,                 0.1958,                 1.3109,                 4.0692,                 1.5636,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.3334,                 3.1054,                 1.3776,                0.00286,                0.85714,                0.44965,                0.26795,                  1.166,                 3.7665,                 1.3595,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.3773,                 2.6967,                 1.3246,                0.00333,                      1,                0.55741,                0.33628,                 1.2913,                 3.6855,                 1.4586,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.3108,                 2.5367,                 1.2414,                0.00333,                      1,                0.58605,                0.37031,                 1.3125,                 3.4316,                 1.5316,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.3289,                 2.4192,                 1.3017,                0.00333,                      1,                0.58529,                0.36882,                 1.2752,                 3.3726,                 1.4385,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.2896,                 1.9686,                 1.3507,                0.00333,                      1,                0.55773,                0.35455,                 1.1689,                 3.4209,                 1.3722,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.2226,                 2.2447,                 1.5136,                0.00333,                      1,                0.55658,                0.34288,                 1.1008,                 3.4233,                 1.3018,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.1866,                 1.9869,                 1.2158,                0.00333,                      1,                 0.6584,                0.41929,                 1.1118,                  3.368,                 1.3069,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.4406,                 1.8103,                 1.2914,                0.00333,                      1,                0.67968,                0.43326,                 1.0113,                 3.3842,                 1.2514,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.5878,                 2.0132,                 1.2946,                0.00333,                      1,                0.71279,                0.46741,                 1.0572,                 3.3704,                 1.2759,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.2459,                 1.8195,                 1.2772,                0.00333,                      1,                0.68673,                0.40651,                   1.05,                 3.4458,                 1.2759,              0.0004406,              0.0004406,              0.0004406
                     14,                  1.199,                 1.8508,                 1.1522,                0.00363,                      1,                0.72803,                 0.4508,                 1.0616,                 3.3937,                 1.2836,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.2823,                 1.6822,                 1.1863,                0.00668,                0.85714,                0.79995,                0.42534,                 1.0703,                 3.3907,                 1.2782,             0.00049961,             0.00049961,             0.00049961
                     16,                  1.153,                  1.817,                 1.2004,                0.67179,                0.57143,                0.70493,                0.41808,                 1.0795,                  3.307,                   1.32,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.2151,                 1.9166,                 1.2753,                      1,                0.42165,                0.85594,                0.48084,                 1.0894,                 3.2329,                  1.384,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.3378,                 1.7181,                 1.4288,                      1,                 0.3714,                0.83595,                0.46642,                 1.2371,                 3.2045,                 1.4866,             0.00058219,             0.00058219,             0.00058219
                     19,                  1.112,                 1.7325,                  1.224,                      1,                0.49647,                 0.7541,                0.43368,                 1.4146,                 3.2149,                 1.5142,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.2442,                 1.7068,                 1.1996,                0.00645,                      1,                0.72268,                0.32769,                 1.4873,                 3.3741,                 1.5701,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.1544,                  1.977,                 1.2254,                0.00333,                      1,                0.68136,                0.34207,                  1.578,                 3.3779,                 1.7089,             0.00065764,             0.00065764,             0.00065764
                     22,                  1.151,                 1.6908,                 1.2858,                0.00656,                      1,                0.70152,                0.31174,                 1.6826,                 3.5117,                 2.2613,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.2256,                  1.524,                 1.2033,                      1,                0.41373,                0.74041,                0.33834,                 1.6874,                 3.4436,                 2.0815,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.2077,                  1.622,                 1.2053,                      1,                0.59679,                 0.7542,                0.37275,                 1.7881,                 3.2635,                 2.2239,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.3432,                 1.8816,                 1.2695,                      1,                0.55096,                0.73009,                0.36319,                 1.9038,                 3.1995,                 2.3943,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.1537,                 1.7595,                 1.3012,                0.78293,                0.52266,                0.73609,                0.36288,                 1.9287,                 3.2248,                 2.3946,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.2595,                 1.7411,                 1.2085,                0.78243,                0.52123,                0.77412,                0.36916,                  1.908,                 3.1901,                 2.4504,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.2378,                 1.5728,                 1.2286,                0.78243,                0.52123,                0.77412,                0.36916,                  1.908,                 3.1901,                 2.4504,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.4119,                 1.6657,                  1.226,                0.60945,                0.44882,                0.66053,                0.27577,                 1.8372,                 3.1629,                 2.3531,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.0688,                 1.5321,                 1.2129,                0.66487,                0.71429,                0.67523,                 0.2859,                 1.7061,                 3.0779,                 1.9825,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.3048,                 1.7882,                 1.2952,                0.66487,                0.71429,                0.67523,                 0.2859,                 1.7061,                 3.0779,                 1.9825,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.4423,                 1.6996,                 1.3781,                0.60916,                0.57143,                0.70967,                0.35153,                 1.6439,                 3.1454,                 1.8768,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.1962,                 1.8139,                  1.214,                0.82229,                0.66696,                0.88266,                0.43959,                 1.6904,                 3.1942,                 2.0549,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.3306,                 1.5986,                  1.149,                0.82229,                0.66696,                0.88266,                0.43959,                 1.6904,                 3.1942,                 2.0549,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.2052,                 1.6052,                 1.2528,                 0.5891,                0.42857,                0.61857,                0.21259,                 2.3062,                  3.586,                 2.7982,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.3263,                 1.6169,                 1.2495,                0.50064,                0.71628,                0.48485,                0.11661,                 2.4927,                 3.7115,                 3.3009,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.2472,                 1.7027,                 1.3419,                0.50064,                0.71628,                0.48485,                0.11661,                 2.4927,                 3.7115,                 3.3009,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.2812,                 1.4754,                 1.1483,                0.42918,                0.57143,                0.31178,                0.08768,                 2.4965,                 3.8375,                 3.3159,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.1851,                 1.4777,                 1.1354,                0.20305,                0.28571,                0.25591,                0.10367,                 2.4297,                 4.0233,                 3.3138,             0.00096065,             0.00096065,             0.00096065
                     40,                  1.145,                 1.5232,                 1.1802,                0.20305,                0.28571,                0.25591,                0.10367,                 2.4297,                 4.0233,                 3.3138,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.3492,                 1.5345,                 1.2741,                0.44322,                0.45786,                0.41764,                0.16082,                 2.0177,                 3.5539,                  2.626,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.3187,                 1.5227,                 1.2219,                0.83036,                0.70155,                 0.6571,                0.29743,                 1.7748,                 3.1327,                 2.3571,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.2993,                 1.5711,                 1.2765,                0.83036,                0.70155,                 0.6571,                0.29743,                 1.7748,                 3.1327,                 2.3571,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.2688,                  1.591,                 1.2644,                0.60165,                0.71429,                0.63745,                0.26848,                 1.5647,                 3.2582,                 1.9765,             0.00099928,             0.00099928,             0.00099928
                     45,                  1.065,                 1.4904,                 1.1539,                0.60165,                0.71429,                0.63745,                0.26848,                 1.5647,                 3.2582,                 1.9765,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.2793,                 1.5038,                 1.1566,                0.68939,                0.57143,                0.69985,                0.24336,                 1.6808,                 3.0575,                 1.7352,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.4164,                 1.8115,                 1.3797,                0.68939,                0.57143,                0.69985,                0.24336,                 1.6808,                 3.0575,                 1.7352,               0.001013,               0.001013,               0.001013
                     48,                  1.511,                  1.706,                 1.3183,                0.76023,                0.57143,                0.65868,                 0.2061,                 1.9945,                 3.1504,                  2.147,              0.0010159,              0.0010159,              0.0010159
                     49,                  1.341,                 1.7039,                 1.2849,                0.76023,                0.57143,                0.65868,                 0.2061,                 1.9945,                 3.1504,                  2.147,              0.0010181,              0.0010181,              0.0010181
                     50,                   1.25,                 1.5747,                 1.2157,                      1,                0.53561,                0.69636,                0.27119,                  1.925,                 3.0137,                 2.1566,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.4725,                 1.6956,                 1.4081,                      1,                0.53561,                0.69636,                0.27119,                  1.925,                 3.0137,                 2.1566,                0.00101,                0.00101,                0.00101
                     52,                 1.0944,                  1.367,                 1.1729,                0.71421,                0.71406,                0.65376,                0.28467,                 2.0242,                 2.8413,                  1.817,                0.00101,                0.00101,                0.00101
                     53,                 1.4279,                 1.4387,                 1.2531,                0.71421,                0.71406,                0.65376,                0.28467,                 2.0242,                 2.8413,                  1.817,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0938,                 1.6482,                 1.1872,                0.65223,                0.42857,                0.51952,                0.24173,                 2.3834,                 3.5844,                 2.5343,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.314,                 1.5575,                 1.2989,                0.65223,                0.42857,                0.51952,                0.24173,                 2.3834,                 3.5844,                 2.5343,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2347,                 1.4755,                 1.1569,                0.97805,                0.42857,                0.55425,                0.19162,                 2.4777,                  3.804,                 2.6711,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1732,                 1.4166,                  1.246,                0.97805,                0.42857,                0.55425,                0.19162,                 2.4777,                  3.804,                 2.6711,               0.000911,               0.000911,               0.000911
                     58,                 1.1952,                  1.418,                  1.364,                0.93418,                0.42857,                0.51209,                0.18466,                 2.3637,                  4.363,                 2.3718,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2397,                 1.4655,                 1.1609,                0.93418,                0.42857,                0.51209,                0.18466,                 2.3637,                  4.363,                 2.3718,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2482,                 1.4407,                 1.2092,                0.58054,                0.42857,                0.44584,                0.14505,                 2.4599,                 4.8053,                 2.5227,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2913,                 1.5993,                 1.4185,                0.58054,                0.42857,                0.44584,                0.14505,                 2.4599,                 4.8053,                 2.5227,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1611,                 1.5493,                 1.1764,                0.71266,                0.42857,                0.41515,                0.14171,                  2.251,                 3.8041,                 2.2673,               0.000812,               0.000812,               0.000812
                     63,                 1.3158,                 1.3088,                 1.1463,                0.71266,                0.42857,                0.41515,                0.14171,                  2.251,                 3.8041,                 2.2673,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2613,                 1.5242,                 1.3401,                0.64401,                0.28571,                 0.2951,                0.10173,                 2.0111,                 3.2946,                 2.4623,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1348,                 1.2351,                 1.1256,                0.64401,                0.28571,                 0.2951,                0.10173,                 2.0111,                 3.2946,                 2.4623,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2558,                 1.3707,                 1.1488,                0.51018,                0.44892,                0.57754,                0.14346,                 2.2503,                 3.1989,                 3.0496,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2012,                 1.3441,                 1.1512,                0.51018,                0.44892,                0.57754,                0.14346,                 2.2503,                 3.1989,                 3.0496,               0.000713,               0.000713,               0.000713
                     68,                  1.316,                 1.4398,                 1.1831,                0.98298,                0.28571,                0.45608,                0.12409,                 2.4473,                 3.0679,                 3.3678,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2409,                 1.2843,                 1.1685,                0.98298,                0.28571,                0.45608,                0.12409,                 2.4473,                 3.0679,                 3.3678,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0792,                  1.169,                 1.0594,                0.96973,                0.28571,                0.39971,                 0.1939,                 2.2556,                 3.1544,                 3.0298,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1387,                 1.2991,                 1.1583,                0.96973,                0.28571,                0.39971,                 0.1939,                 2.2556,                 3.1544,                 3.0298,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1833,                 1.4061,                  1.175,                 0.6913,                0.42857,                0.46503,                0.24312,                 1.9983,                 2.8797,                 2.4298,               0.000614,               0.000614,               0.000614
                     73,                 1.1317,                 1.1984,                 1.1584,                 0.6913,                0.42857,                0.46503,                0.24312,                 1.9983,                 2.8797,                 2.4298,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2862,                 1.5557,                 1.3197,                0.93847,                0.57143,                0.68897,                0.28758,                 1.7498,                 2.5999,                 1.9727,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0897,                 1.2556,                 1.0743,                0.93847,                0.57143,                0.68897,                0.28758,                 1.7498,                 2.5999,                 1.9727,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0741,                 1.3445,                 1.2259,                0.62281,                0.70844,                0.72356,                0.39838,                 1.3342,                 2.3828,                 1.6033,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0984,                 1.2933,                 1.1916,                0.62281,                0.70844,                0.72356,                0.39838,                 1.3342,                 2.3828,                 1.6033,               0.000515,               0.000515,               0.000515
                     78,                0.88814,                  1.215,                 1.1064,                 0.7647,                0.57143,                0.68665,                0.39664,                 1.1463,                 2.6414,                 1.4514,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0417,                 1.1478,                  1.076,                 0.7647,                0.57143,                0.68665,                0.39664,                 1.1463,                 2.6414,                 1.4514,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0953,                 1.2196,                 1.1823,                0.42363,                0.85714,                0.63658,                0.29792,                 1.3261,                 2.8095,                 1.5914,              0.0004556,              0.0004556,              0.0004556
                     81,                0.97871,                 1.2076,                 1.0551,                0.42363,                0.85714,                0.63658,                0.29792,                 1.3261,                 2.8095,                 1.5914,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1875,                 1.2481,                 1.1477,                0.54351,                0.68331,                0.64869,                0.28947,                 1.3867,                  2.661,                 1.6428,               0.000416,               0.000416,               0.000416
                     83,                 1.1604,                 1.4385,                 1.2838,                0.54351,                0.68331,                0.64869,                0.28947,                 1.3867,                  2.661,                 1.6428,              0.0003962,              0.0003962,              0.0003962
